בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	Under a Threat of Extinction: Three cheetah cubs were born in Iran	yes
העלייה החדה בשיעור הריבית מייקרת במאות שקלים את החזרי המשכנתאות ומכבידה בצורה דרסטית על משקי הבית.	The sharp increase in the interest rate significantly raises the mortgage repayments by hundreds of shekels and places a heavy burden on household budgets.	yes
בעזרת שי צרור, מומחה למשכנתאות, בדקנו כמה נשלם יותר ומה מומלץ לעשות כבר עכשיו.	With the help of Shai Tzror, a mortgage expert, we examined how much more we will pay and what is recommended to do right now.	no
אם הריבית תעלה בחצי אחוז - בכמה יתייקר התשלום החודשי על המשכנתא?	If the interest rate increases by half a percent, how much will the monthly mortgage payment increase?	no
במשכנתא בסכום של 1.2 מיליון שקל, שמורכבת מ־40% מסלול ריבית פריים, ההחזר החודשי יעלה ב־125 שקלים.	In a mortgage of 1.2 million shekels, consisting of 40% prime interest track, the monthly repayment will increase by 125 shekels.	no
בכמה התייקרה המשכנתא הממוצעת מתחילת השנה?	How much did the average mortgage increase since the beginning of the year?	no
מתחילת השנה מדובר בעלייה חדה יותר באופן משמעותי.	Since the beginning of the year, there has been a significantly sharper increase.	no
זאת, משום שגם הריביות ביתר המסלולים שמרכיבים משכנתא (ולא רק במסלול פריים) עלו - במסלול צמוד מדד ובמסלול הריבית הקבועה.	This is because the interest rates in most of the tracks that make up the mortgage (not just the prime track) have also risen – in the linked-to-index track and in the fixed-interest track.	no
אם הריבית אכן תעלה בחצי אחוז, ההתייקרות תסתכם, לפי הערכתו של צרור, בכ־620 שקלים במשכנתא של כ־1.2 מיליון שקלים.	If the interest rate does indeed increase by half a percent, the total increase, according to Tzror's estimate, will amount to approximately 620 shekels in a mortgage of around 1.2 million shekels.	no
מסלול הפריים (40% במסלול הזה) ישלים התייקרות של כ־280 שקלים, בהנחה שתהיה עלייה של עוד 0.5% בחודש הבא.	The prime track (40% in this track) will experience an increase of around 280 shekels, assuming there is an additional 0.5% increase next month.	no
מסלול הריבית המשתנה צמודת מדד (26.7% במסלול הזה) ישלים התייקרות של כ־120 שקלים.	The variable interest linked-to-index track (26.7% in this track) will experience an increase of around 120 shekels.	no
מסלול הריבית הקבועה - לא צמוד מדד (33.3% במסלול הזה) יתייקר ב־220 שקלים.	The fixed-interest track - non-linked (33.3% in this track) will increase by around 220 shekels.	no
אז מה מומלץ לעשות כיום?	So what is recommended to do today?	no
עבור מי שיש להם משכנתא שרובה צמוד למדד, צרור ממליץ לשקול מיחזור למסלולים שאינם צמודים.	For those who have a mortgage mostly linked to an index, Tzror recommends considering switching to non-linked tracks.	no
לנוטלי משכנתאות שההחזר החודשי עלה מבחינתם בצורה משמעותית וקשה להם לעמוד בהחזרים - הוא ממליץ לבחון לבצע מיחזור משכנתא ולפרוס אותה מחדש לתקופה ארוכה יותר.	For mortgage holders whose monthly payments have significantly increased and find it difficult to manage the repayments, he recommends considering refinancing the mortgage and extending it over a longer period.	no
זאת, כדי להפחית את התשלומים למרות העלייה בריבית, שכן עדיף תמיד לעמוד בהחזרים ולא להיות בחדלות פירעון.	This is in order to reduce the payments despite the increase in interest rates, as it's always better to maintain repayments and avoid defaulting.	no
לגבי נוטלי משכנתאות חדשים - הוא ממליץ מאוד להכיר את המסלולים השונים ולהתאים את המשכנתא ליכולותיהם הכלכליות.	Regarding new mortgage takers, he strongly recommends getting to know the different tracks and tailoring the mortgage to their financial capabilities.	no
כך גם בעתיד כשהריביות יירדו הם יוכלו לעשות מיחזור משכנתא עם מינימום עמלות פירעון מוקדם.	This way, in the future when interest rates decrease, they will be able to refinance their mortgage with minimal early repayment fees.	no
לגבי רוכשי דירות מקבלן - צרור ממליץ להקדים תשלומים לקבלן ולקחת משכנתא כעת.	For buyers of homes from contractors, Tzror recommends prepaying installments to the contractor and taking out a mortgage now.	no
יש להביא בחשבון כי "מדד תשומות הבנייה" מעלה את מחיר הנכס באופן משמעותי גם לאחר שנחתם חוזה הרכישה.	It's worth considering that the 'Construction Cost Index' significantly raises the property price even after the purchase contract has been signed.	no
מדד מחירי תשומות הבנייה למגורים עלה בשנה האחרונה ב־6.6%.	The Construction Cost Index for residential properties has increased by 6.6% in the past year.	no
על רקע ההתייקרות במדד זה, שלשום הודיע הפיקוח על הבנקים כי הוא שוקל לחייב יצירת מנגנון שיאפשר לכלול את ההצמדות בתוך המשכנתאות, אולם ההחלטה הסופית בנושא טרם התקבלה.	Against the backdrop of the increase in this index, yesterday the banking supervision announced that it is considering imposing a requirement to include the linkage within mortgages. However, the final decision on the matter has not yet been made.	no
מחיר הדלק מתייקר - והישראלים יאלצו לשלם ביולי יותר מ-8 שקלים לליטר	The price of fuel is rising, and Israelis will have to pay over 8 shekels per liter in July.	yes
