בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	In the shadow of extinction: Three bridal puppies born in Iran	yes
מתחילת השנה מדובר בעלייה חדה יותר באופן משמעותי.	Since the beginning of the year, it's been a significant rise.	no
זאת, משום שגם הריביות ביתר המסלולים שמרכיבים משכנתא (ולא רק במסלול פריים) עלו - במסלול צמוד מדד ובמסלול הריבית הקבועה.	This is because the interest rates on all the other paths that comprise a mortgage (and not just the prime path) have also gone up -- the narrow meter path and the fixed rate path.	no
אם הריבית אכן תעלה בחצי אחוז, ההתייקרות תסתכם, לפי הערכתו של צרור, בכ־620 שקלים במשכנתא של כ־1.2 מיליון שקלים.	If interest does go up by half a percent, the increase would amount, as Chrour estimates, to about $400,000 in a mortgage of about $1,200,000.	no
מסלול הפריים (40% במסלול הזה) ישלים התייקרות של כ־280 שקלים, בהנחה שתהיה עלייה של עוד 0.5% בחודש הבא.	The prime route (40% of this route) will complete an increase of some R16, assuming a further increase of 0.5% next month.	no
מסלול הריבית המשתנה צמודת מדד (26.7% במסלול הזה) ישלים התייקרות של כ־120 שקלים.	A narrow-angle variable interest rate path (26.7% on this path) will complete an increase of about $130	no
מסלול הריבית הקבועה - לא צמוד מדד (33.3% במסלול הזה) יתייקר ב־220 שקלים.	The fixed rate path - not a narrow rate (33.3% on this path) will be increased by NIS 220.	no
אז מה מומלץ לעשות כיום?	So what is the best thing to do today?	no
עבור מי שיש להם משכנתא שרובה צמוד למדד, צרור ממליץ לשקול מיחזור למסלולים שאינם צמודים.	For those who have a mortgage that's mostly close to the meter, the chain recommends considering recycling to non-contiguous pathways.	no
לנוטלי משכנתאות שההחזר החודשי עלה מבחינתם בצורה משמעותית וקשה להם לעמוד בהחזרים - הוא ממליץ לבחון לבצע מיחזור משכנתא ולפרוס אותה מחדש לתקופה ארוכה יותר.	For mortgage borrowers whose monthly returns have increased significantly and who find it difficult to meet repayments - he recommends taking a mortgage restructuring and rescheduling it over a longer period.	no
זאת, כדי להפחית את התשלומים למרות העלייה בריבית, שכן עדיף תמיד לעמוד בהחזרים ולא להיות בחדלות פירעון.	This to reduce the payments despite the increase in interest, since it is always better to be on the rewards than to be in bankruptcy haste.	no
לגבי נוטלי משכנתאות חדשים - הוא ממליץ מאוד להכיר את המסלולים השונים ולהתאים את המשכנתא ליכולותיהם הכלכליות.	As for new mortgage borrowers - he strongly recommends getting to know the different avenues and tailoring the mortgage to their financial capabilities.	no
כך גם בעתיד כשהריביות יירדו הם יוכלו לעשות מיחזור משכנתא עם מינימום עמלות פירעון מוקדם.	So in the future, when interest rates go down, they can do a mortgage recycling with minimum early-payment fees.	no
לגבי רוכשי דירות מקבלן - צרור ממליץ להקדים תשלומים לקבלן ולקחת משכנתא כעת.	For home buyers, Krzor recommends making advance payments to your landlord and taking out a mortgage now.	no
יש להביא בחשבון כי "מדד תשומות הבנייה" מעלה את מחיר הנכס באופן משמעותי גם לאחר שנחתם חוזה הרכישה.	Consider that the building assessment increases the price of the property significantly even after the purchase contract is signed.	no
מדד מחירי תשומות הבנייה למגורים עלה בשנה האחרונה ב־6.6%.	The housing-contribution-price index has risen by 6.6% in the last year.	no
על רקע ההתייקרות במדד זה, שלשום הודיע הפיקוח על הבנקים כי הוא שוקל לחייב יצירת מנגנון שיאפשר לכלול את ההצמדות בתוך המשכנתאות, אולם ההחלטה הסופית בנושא טרם התקבלה.	In light of the increase in this index, the previous day the Banking Supervision Authority announced that it was considering the creation of a mechanism that would enable to include attachments in mortgages, but the final decision on this issue has not yet been made.	no
מחיר הדלק מתייקר - והישראלים יאלצו לשלם ביולי יותר מ-8 שקלים לליטר	The price of gasoline is soaring - and Israelis will have to pay more than 8 shekels per liter in July	yes
משרד האנרגיה הודיע כי המחיר החדש לליטר בנזין 95 אוקטן, יעמוד על 8.08 שקל •	The Ministry of Energy has announced that the new price for a liter of 95 octane gasoline will be 8.08 shekels.	yes
במקביל, תוארך עד סוף 2022 ההפחתה של חצי ש"ח לליטר במס על הסולר	At the same time, until the end of 2022, the reduction of half a shilling per liter of solar tax is a big deal.	yes
שיא של עשור: מחיר הבנזין יזנק ב-36 אגורות לליטר - ויעמוד החל מ-1 ביולי על יותר מ-8 שקלים לליטר.	The price of gasoline will jump by 36 cents a liter -- and stand at more than 8 cents a liter as of July 1.	yes
המחיר החדש לליטר בנזין 95 אוקטן, יעמוד על-8.08 ומי שיבקש להינות משירות מלא, יידרש לשלם עוד 21 אגורות לליטר.	The new price for the liter of 95-octane gasoline, will stand at 8.08 and those who wish to enjoy full service will be required to pay an additional 21 cents per liter.	yes
במקביל, תוארך ההפחתה של חצי שקל לליטר במס הסולר עד סוף 2022 - כך נמסר מרשות המסים.	At the same time, the reduction of half a shekel per liter in the solar tax will last until the end of 2022 - according to the tax authorities.	yes
כאמור, עליית המחיר נובעת מהמשך עליית מחירי הנפט, על רקע המלחמה בין רוסיה לאוקראינה ועליית שער הדולר.	As mentioned, the price increase stems from the continued rise in oil prices, against the backdrop of the war between Russia and Ukraine and the rise in the dollar.	yes
