בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	Three Cheetah cubs born in Iran	yes
במשכנתא בסכום של 1.2 מיליון שקל, שמורכבת מ־40% מסלול ריבית פריים, ההחזר החודשי יעלה ב־125 שקלים.	On a mortgage in the amount of NIS 1.2 million, which consists of a 40% prime interest rate track, the monthly repayment will increase by NIS 125.	no
בכמה התייקרה המשכנתא הממוצעת מתחילת השנה?	How much has the average mortgage increased since the beginning of the year?	no
מתחילת השנה מדובר בעלייה חדה יותר באופן משמעותי.	Since the beginning of the year, this has been a significantly sharper increase.	no
זאת, משום שגם הריביות ביתר המסלולים שמרכיבים משכנתא (ולא רק במסלול פריים) עלו - במסלול צמוד מדד ובמסלול הריבית הקבועה.	This is because interest rates in the other tracks that make up a mortgage (and not just in the prime track) have also risen - in the index-linked track and in the fixed-rate track.	no
אם הריבית אכן תעלה בחצי אחוז, ההתייקרות תסתכם, לפי הערכתו של צרור, בכ־620 שקלים במשכנתא של כ־1.2 מיליון שקלים.	If the interest rate does increase by half a percentage point, the cost will amount, according to Tzaruz's estimate, to NIS 620 on a mortgage of NIS 1.2 million.	no
מסלול הפריים (40% במסלול הזה) ישלים התייקרות של כ־280 שקלים, בהנחה שתהיה עלייה של עוד 0.5% בחודש הבא.	The prime track (40% in this track) will complete a cost of about NIS 280, assuming there will be an increase of another 0.5% next month.	no
מסלול הריבית המשתנה צמודת מדד (26.7% במסלול הזה) ישלים התייקרות של כ־120 שקלים.	The variable interest rate track (26.7% in this track) will complete a consideration of approximately NIS 120.	no
מסלול הריבית הקבועה - לא צמוד מדד (33.3% במסלול הזה) יתייקר ב־220 שקלים.	The course of fixed interest - not index-linked (33.3% in this track) will be priced at NIS 220.	no
אז מה מומלץ לעשות כיום?	So what is best to do today?	no
עבור מי שיש להם משכנתא שרובה צמוד למדד, צרור ממליץ לשקול מיחזור למסלולים שאינם צמודים.	For those with a mortgage that is mostly index-linked, Bundle recommends considering recycling into non-index-linked tracks.	no
לנוטלי משכנתאות שההחזר החודשי עלה מבחינתם בצורה משמעותית וקשה להם לעמוד בהחזרים - הוא ממליץ לבחון לבצע מיחזור משכנתא ולפרוס אותה מחדש לתקופה ארוכה יותר.	For mortgage-takers whose monthly repayments have increased significantly and it is difficult for them to meet the repayments, he recommends looking at refinancing a mortgage and redeploying it for a longer period.	no
זאת, כדי להפחית את התשלומים למרות העלייה בריבית, שכן עדיף תמיד לעמוד בהחזרים ולא להיות בחדלות פירעון.	This is to reduce payments despite the rise in interest rates, as it is always better to meet repayments rather than be insolvent.	no
לגבי נוטלי משכנתאות חדשים - הוא ממליץ מאוד להכיר את המסלולים השונים ולהתאים את המשכנתא ליכולותיהם הכלכליות.	Regarding new mortgage takers - he strongly recommends getting to know the different routes and adapting the mortgage to their financial abilities.	no
כך גם בעתיד כשהריביות יירדו הם יוכלו לעשות מיחזור משכנתא עם מינימום עמלות פירעון מוקדם.	In the future, when interest rates fall, they will be able to refinance a mortgage with minimum early repayment fees.	no
לגבי רוכשי דירות מקבלן - צרור ממליץ להקדים תשלומים לקבלן ולקחת משכנתא כעת.	With regard to apartment buyers from a contractor - a bundle recommends that you advance payments to the contractor and take out a mortgage now.	no
יש להביא בחשבון כי "מדד תשומות הבנייה" מעלה את מחיר הנכס באופן משמעותי גם לאחר שנחתם חוזה הרכישה.	It should be taken into account that the" Building inputs index " increases the price of the property significantly even after the purchase contract is signed.	no
מדד מחירי תשומות הבנייה למגורים עלה בשנה האחרונה ב־6.6%.	The Residential Construction Inputs Price Index has risen 6.6 per cent in the past year.	no
על רקע ההתייקרות במדד זה, שלשום הודיע הפיקוח על הבנקים כי הוא שוקל לחייב יצירת מנגנון שיאפשר לכלול את ההצמדות בתוך המשכנתאות, אולם ההחלטה הסופית בנושא טרם התקבלה.	Against the background of the increase in this measure, the Banking Supervision Department announced yesterday that it was considering requiring the creation of a mechanism that would allow the clustering to be included in the mortgages, but the final decision on the matter has not yet been made.	no
מחיר הדלק מתייקר - והישראלים יאלצו לשלם ביולי יותר מ-8 שקלים לליטר	The price of fuel is rising - and Israelis will have to pay more than NIS 8 per liter in July	yes
משרד האנרגיה הודיע כי המחיר החדש לליטר בנזין 95 אוקטן, יעמוד על 8.08 שקל •	The Ministry of Energy announced that the new price for a liter of gasoline, 95 octane, will be 8.08 NIS •	yes
במקביל, תוארך עד סוף 2022 ההפחתה של חצי ש"ח לליטר במס על הסולר	At the same time, by the end of 2022, the reduction of half NIS per liter in the tax on diesel will be extended	yes
שיא של עשור: מחיר הבנזין יזנק ב-36 אגורות לליטר - ויעמוד החל מ-1 ביולי על יותר מ-8 שקלים לליטר.	A decade high: The price of gasoline will jump by 36 cents per liter-and will stand at more than 8 shekels per liter from July 1.	yes
המחיר החדש לליטר בנזין 95 אוקטן, יעמוד על-8.08 ומי שיבקש להינות משירות מלא, יידרש לשלם עוד 21 אגורות לליטר.	The new price for a 95-octane liter of gasoline will be 8.08 and those who wish to enjoy full service will be required to pay an additional 21 cents per liter.	yes
