בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	Three endangered cheetah cubs were born in Iran	yes
במשכנתא בסכום של 1.2 מיליון שקל, שמורכבת מ־40% מסלול ריבית פריים, ההחזר החודשי יעלה ב־125 שקלים.	In a NIS 1.2 million mortgage, consisting of 40% prime interest rate, the monthly repayment will increase by NIS 125.	no
בכמה התייקרה המשכנתא הממוצעת מתחילת השנה?	How much is the average mortgage rate this year?	no
מתחילת השנה מדובר בעלייה חדה יותר באופן משמעותי.	Since the beginning of the year, this has been significantly higher.	no
זאת, משום שגם הריביות ביתר המסלולים שמרכיבים משכנתא (ולא רק במסלול פריים) עלו - במסלול צמוד מדד ובמסלול הריבית הקבועה.	This is because the interest rates in the other tracks that make up a mortgage (and not only in the prime track) also increased - in the index-linked track and in the fixed-rate track.	no
אם הריבית אכן תעלה בחצי אחוז, ההתייקרות תסתכם, לפי הערכתו של צרור, בכ־620 שקלים במשכנתא של כ־1.2 מיליון שקלים.	If the interest rate does indeed rise by half a percent, the increase will amount, according to Tsror's estimate, to about NIS 620 in a mortgage of about NIS 1.2 million.	no
מסלול הפריים (40% במסלול הזה) ישלים התייקרות של כ־280 שקלים, בהנחה שתהיה עלייה של עוד 0.5% בחודש הבא.	The prime track (40% on this track) will increase by about NIS 280, assuming there will be another 0.5% increase next month.	no
מסלול הריבית המשתנה צמודת מדד (26.7% במסלול הזה) ישלים התייקרות של כ־120 שקלים.	The CPI-linked variable interest rate track (26.7% in this track) will complement an increase of NIS 120.	no
מסלול הריבית הקבועה - לא צמוד מדד (33.3% במסלול הזה) יתייקר ב־220 שקלים.	The fixed-interest track - not index-linked (33.3% in this track) will increase by NIS 220.	no
אז מה מומלץ לעשות כיום?	So what is recommended to do today?	no
עבור מי שיש להם משכנתא שרובה צמוד למדד, צרור ממליץ לשקול מיחזור למסלולים שאינם צמודים.	For those who have a mortgage that is mostly index-linked, Tzrur recommends considering recycling to tracks that are not indexed.	no
לנוטלי משכנתאות שההחזר החודשי עלה מבחינתם בצורה משמעותית וקשה להם לעמוד בהחזרים - הוא ממליץ לבחון לבצע מיחזור משכנתא ולפרוס אותה מחדש לתקופה ארוכה יותר.	Mortgage takers whose monthly repayments have increased significantly and find it difficult to meet their repayments - he recommends examining mortgage refinancing and redeploying it for a longer period.	no
זאת, כדי להפחית את התשלומים למרות העלייה בריבית, שכן עדיף תמיד לעמוד בהחזרים ולא להיות בחדלות פירעון.	This is to reduce payments despite the increase in interest, since it is better to always meet the repayments and not be in default.	no
לגבי נוטלי משכנתאות חדשים - הוא ממליץ מאוד להכיר את המסלולים השונים ולהתאים את המשכנתא ליכולותיהם הכלכליות.	As for new mortgage takers - he strongly recommends getting to know the different routes and adapting the mortgage to their economic capabilities.	no
כך גם בעתיד כשהריביות יירדו הם יוכלו לעשות מיחזור משכנתא עם מינימום עמלות פירעון מוקדם.	The same is true in the future, when interest rates fall, they will be able to refinance with a minimum of early repayment fees.	no
לגבי רוכשי דירות מקבלן - צרור ממליץ להקדים תשלומים לקבלן ולקחת משכנתא כעת.	As for apartment buyers from a contractor - Tsror recommends to advance payments to the contractor and take out a mortgage now.	no
יש להביא בחשבון כי "מדד תשומות הבנייה" מעלה את מחיר הנכס באופן משמעותי גם לאחר שנחתם חוזה הרכישה.	It should be taken into account that the "construction inputs index" raises the price of the property significantly even after the purchase contract has been signed.	no
מדד מחירי תשומות הבנייה למגורים עלה בשנה האחרונה ב־6.6%.	The price index of residential construction inputs increased by 6.6 percent last year.	no
על רקע ההתייקרות במדד זה, שלשום הודיע הפיקוח על הבנקים כי הוא שוקל לחייב יצירת מנגנון שיאפשר לכלול את ההצמדות בתוך המשכנתאות, אולם ההחלטה הסופית בנושא טרם התקבלה.	Against the background of the increase in this index, the Banking Supervision Department announced yesterday that it is considering creating a mechanism that will enable the inclusion of bonds in mortgages, but the final decision on the matter has not yet been made.	no
מחיר הדלק מתייקר - והישראלים יאלצו לשלם ביולי יותר מ-8 שקלים לליטר	The price of fuel is rising - and Israelis will have to pay more than NIS 8 per liter in July	yes
משרד האנרגיה הודיע כי המחיר החדש לליטר בנזין 95 אוקטן, יעמוד על 8.08 שקל •	The Ministry of Energy announced that the new price for a liter of 95 octane gasoline will be NIS 8.08	yes
במקביל, תוארך עד סוף 2022 ההפחתה של חצי ש"ח לליטר במס על הסולר	At the same time, a reduction of half a shekel per liter in the diesel tax will be extended until the end of 2022.	yes
שיא של עשור: מחיר הבנזין יזנק ב-36 אגורות לליטר - ויעמוד החל מ-1 ביולי על יותר מ-8 שקלים לליטר.	A decade-long record: The price of gasoline will jump by 36 agorot per liter - and will stand from July 1 at more than NIS 8 per liter.	yes
המחיר החדש לליטר בנזין 95 אוקטן, יעמוד על-8.08 ומי שיבקש להינות משירות מלא, יידרש לשלם עוד 21 אגורות לליטר.	The new price for a liter of 95-octane gasoline will be 8.08 and those who wish to enjoy full service will be required to pay an additional 21 agorot per liter.	yes
