בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	In the Shadow of Extinction: Three Bird Cubs Born in Iran	yes
בכמה התייקרה המשכנתא הממוצעת מתחילת השנה?	What was the average mortgage price at the beginning of the year?	no
מתחילת השנה מדובר בעלייה חדה יותר באופן משמעותי.	Since the beginning of the year, it's been a significantly sharper increase.	no
זאת, משום שגם הריביות ביתר המסלולים שמרכיבים משכנתא (ולא רק במסלול פריים) עלו - במסלול צמוד מדד ובמסלול הריבית הקבועה.	This is because interest rates on the other mortgage-backed lines (and not just on the prime line) have also increased - on the fixed-rate and the fixed-rate lines.	no
אם הריבית אכן תעלה בחצי אחוז, ההתייקרות תסתכם, לפי הערכתו של צרור, בכ־620 שקלים במשכנתא של כ־1.2 מיליון שקלים.	If the interest rate does go up by half a percent, the cost would be, according to Kroser's estimate, about 620 shekels on a mortgage of about 1.2 million shekels.	no
מסלול הפריים (40% במסלול הזה) ישלים התייקרות של כ־280 שקלים, בהנחה שתהיה עלייה של עוד 0.5% בחודש הבא.	The prime track (40% of this track) will make up the cost of about 280 shekels, assuming another 0.5% increase next month.	no
מסלול הריבית המשתנה צמודת מדד (26.7% במסלול הזה) ישלים התייקרות של כ־120 שקלים.	The variable rate of interest (26.7% on this line) will make up the cost of about $120.	no
מסלול הריבית הקבועה - לא צמוד מדד (33.3% במסלול הזה) יתייקר ב־220 שקלים.	The fixed-rate course, which is 33.3 percent of the course, will cost 220 shekels.	no
אז מה מומלץ לעשות כיום?	So what's the recommended course of action today?	no
עבור מי שיש להם משכנתא שרובה צמוד למדד, צרור ממליץ לשקול מיחזור למסלולים שאינם צמודים.	For those with a mortgage that's too close to the mark, Cluster recommends considering recycling to non-matching routes.	no
לנוטלי משכנתאות שההחזר החודשי עלה מבחינתם בצורה משמעותית וקשה להם לעמוד בהחזרים - הוא ממליץ לבחון לבצע מיחזור משכנתא ולפרוס אותה מחדש לתקופה ארוכה יותר.	For borrowers whose monthly repayments have risen significantly and who find it difficult to meet their repayments, he recommends considering recycling a mortgage and spreading it out over a longer period.	no
זאת, כדי להפחית את התשלומים למרות העלייה בריבית, שכן עדיף תמיד לעמוד בהחזרים ולא להיות בחדלות פירעון.	That's to reduce payments despite the interest rate hike, because it's always better to pay back than to be a loser.	no
לגבי נוטלי משכנתאות חדשים - הוא ממליץ מאוד להכיר את המסלולים השונים ולהתאים את המשכנתא ליכולותיהם הכלכליות.	For new mortgage holders - he highly recommends getting to know the different routes and tailoring the mortgage to their financial capabilities.	no
כך גם בעתיד כשהריביות יירדו הם יוכלו לעשות מיחזור משכנתא עם מינימום עמלות פירעון מוקדם.	So in the future, when interest rates go down, they can recycle mortgages with minimal early-payment fees.	no
לגבי רוכשי דירות מקבלן - צרור ממליץ להקדים תשלומים לקבלן ולקחת משכנתא כעת.	As for the buyers of the condominium, a cluster recommends making advance payments to the buyer and taking out a mortgage now.	no
יש להביא בחשבון כי "מדד תשומות הבנייה" מעלה את מחיר הנכס באופן משמעותי גם לאחר שנחתם חוזה הרכישה.	It should be borne in mind that the construction investment ratio raises the price of the property significantly even after the purchase contract has been signed.	no
מדד מחירי תשומות הבנייה למגורים עלה בשנה האחרונה ב־6.6%.	The residential construction investment price index has risen by 6.6% in the past year.	no
על רקע ההתייקרות במדד זה, שלשום הודיע הפיקוח על הבנקים כי הוא שוקל לחייב יצירת מנגנון שיאפשר לכלול את ההצמדות בתוך המשכנתאות, אולם ההחלטה הסופית בנושא טרם התקבלה.	In view of the increase in the price of this index, the Banking Supervision Authority announced yesterday that it was considering the creation of a mechanism that would allow for the inclusion of attachments in mortgages, but the final decision on the matter has not yet been made.	no
מחיר הדלק מתייקר - והישראלים יאלצו לשלם ביולי יותר מ-8 שקלים לליטר	The price of gasoline is rising and Israelis will have to pay in July more than eight shekels a litre.	yes
משרד האנרגיה הודיע כי המחיר החדש לליטר בנזין 95 אוקטן, יעמוד על 8.08 שקל •	The Ministry of Energy announced that the new price per liter of 95-octane gasoline will be 8.08 shekels.	yes
במקביל, תוארך עד סוף 2022 ההפחתה של חצי ש"ח לליטר במס על הסולר	At the same time, by the end of 2022, the reduction of half a dollar per liter of tax on solar energy will be extended to the entire country.	yes
שיא של עשור: מחיר הבנזין יזנק ב-36 אגורות לליטר - ויעמוד החל מ-1 ביולי על יותר מ-8 שקלים לליטר.	A decade's high: Gasoline prices will soar by 36 cents a liter - to more than eight shekels a liter as of July 1.	yes
המחיר החדש לליטר בנזין 95 אוקטן, יעמוד על-8.08 ומי שיבקש להינות משירות מלא, יידרש לשלם עוד 21 אגורות לליטר.	The new price for a liter of 95-octane gasoline will be 8.08 and anyone wishing to enjoy full service will be required to pay an additional 21 cents a liter.	yes
במקביל, תוארך ההפחתה של חצי שקל לליטר במס הסולר עד סוף 2022 - כך נמסר מרשות המסים.	At the same time, a half shekel per litre reduction in the solar tax is scheduled for the end of 2022, according to the IRS.	yes
