בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	In the shadow of extinction: Three cheetah cubs born in Iran	yes
אם הריבית תעלה בחצי אחוז - בכמה יתייקר התשלום החודשי על המשכנתא?	If the interest rate rises by half a percent - how much will the monthly payment on the mortgage cost?	no
במשכנתא בסכום של 1.2 מיליון שקל, שמורכבת מ־40% מסלול ריבית פריים, ההחזר החודשי יעלה ב־125 שקלים.	On a mortgage of NIS 1.2 million, which consists of a 40% prime interest rate track, the monthly repayment will increase by NIS 125.	no
בכמה התייקרה המשכנתא הממוצעת מתחילת השנה?	How much has the average mortgage gone up by since the beginning of the year?	no
מתחילת השנה מדובר בעלייה חדה יותר באופן משמעותי.	Since the beginning of the year, this is a significantly sharper increase.	no
זאת, משום שגם הריביות ביתר המסלולים שמרכיבים משכנתא (ולא רק במסלול פריים) עלו - במסלול צמוד מדד ובמסלול הריבית הקבועה.	This is because interest rates in the other tracks that make up mortgages (and not just in the prime track) have also risen - in the index-linked track and in the fixed interest rate track.	no
אם הריבית אכן תעלה בחצי אחוז, ההתייקרות תסתכם, לפי הערכתו של צרור, בכ־620 שקלים במשכנתא של כ־1.2 מיליון שקלים.	If the interest rate does rise by half a percent, the increase in price will amount, according to Zror's estimate, to about NIS 620 on a mortgage of about NIS 1.2 million.	no
מסלול הפריים (40% במסלול הזה) ישלים התייקרות של כ־280 שקלים, בהנחה שתהיה עלייה של עוד 0.5% בחודש הבא.	The prime route (40% in this route) will complete an increase of about NIS 280, assuming that there will be an increase of another 0.5% next month.	no
מסלול הריבית המשתנה צמודת מדד (26.7% במסלול הזה) ישלים התייקרות של כ־120 שקלים.	The index-linked variable interest rate track (26.7% in this track) will complete a rise in price of about NIS 120.	no
מסלול הריבית הקבועה - לא צמוד מדד (33.3% במסלול הזה) יתייקר ב־220 שקלים.	The fixed interest rate track - not indexed (33.3% in this track) will become more expensive by NIS 220.	no
אז מה מומלץ לעשות כיום?	So what is recommended to do today?	no
עבור מי שיש להם משכנתא שרובה צמוד למדד, צרור ממליץ לשקול מיחזור למסלולים שאינם צמודים.	For those who have a mortgage that is mostly indexed, Bundle recommends considering recycling to non-indexed routes.	no
לנוטלי משכנתאות שההחזר החודשי עלה מבחינתם בצורה משמעותית וקשה להם לעמוד בהחזרים - הוא ממליץ לבחון לבצע מיחזור משכנתא ולפרוס אותה מחדש לתקופה ארוכה יותר.	For mortgage holders whose monthly repayments have increased significantly and it is difficult for them to meet repayments - he recommends looking into recycling a mortgage and redeploying it for a longer period.	no
זאת, כדי להפחית את התשלומים למרות העלייה בריבית, שכן עדיף תמיד לעמוד בהחזרים ולא להיות בחדלות פירעון.	This is to reduce payments despite the increase in interest rates, as it is always better to meet repayments and not be insolvent.	no
לגבי נוטלי משכנתאות חדשים - הוא ממליץ מאוד להכיר את המסלולים השונים ולהתאים את המשכנתא ליכולותיהם הכלכליות.	Regarding new mortgage takers - he strongly recommends getting to know the different routes and adjusting the mortgage to their financial capabilities.	no
כך גם בעתיד כשהריביות יירדו הם יוכלו לעשות מיחזור משכנתא עם מינימום עמלות פירעון מוקדם.	The same applies in the future when interest rates fall they will be able to do mortgage recycling with minimal early repayment fees.	no
לגבי רוכשי דירות מקבלן - צרור ממליץ להקדים תשלומים לקבלן ולקחת משכנתא כעת.	Regarding apartment buyers from a contractor - Bundle recommends making payments to the contractor ahead of time and taking out a mortgage now.	no
יש להביא בחשבון כי "מדד תשומות הבנייה" מעלה את מחיר הנכס באופן משמעותי גם לאחר שנחתם חוזה הרכישה.	It should be taken into account that the "construction input index" raises the price of the property significantly even after the purchase contract is signed.	no
מדד מחירי תשומות הבנייה למגורים עלה בשנה האחרונה ב־6.6%.	The residential construction input price index increased by 6.6% over the past year.	no
על רקע ההתייקרות במדד זה, שלשום הודיע הפיקוח על הבנקים כי הוא שוקל לחייב יצירת מנגנון שיאפשר לכלול את ההצמדות בתוך המשכנתאות, אולם ההחלטה הסופית בנושא טרם התקבלה.	Against the background of the increase in the cost of this measure, the Banking Supervision Department announced yesterday that it is considering mandating the creation of a mechanism that will allow the linkage to be included in the mortgages, but the final decision on the issue has not yet been made.	no
מחיר הדלק מתייקר - והישראלים יאלצו לשלם ביולי יותר מ-8 שקלים לליטר	The price of gas is rising - and Israelis will have to pay more than 8 shekels per liter in July	yes
משרד האנרגיה הודיע כי המחיר החדש לליטר בנזין 95 אוקטן, יעמוד על 8.08 שקל •	The Ministry of Energy announced that the new price for a liter of 95-octane gasoline will be NIS 8.08.	yes
במקביל, תוארך עד סוף 2022 ההפחתה של חצי ש"ח לליטר במס על הסולר	At the same time, the reduction of half a shekel per liter in the tax on diesel will be extended until the end of 2022	yes
