בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	In the Shadow of Extinction: Three Breeders' Puppies Born in Iran	yes
בכמה התייקרה המשכנתא הממוצעת מתחילת השנה?	What's the average mortgage rate since the beginning of the year?	no
מתחילת השנה מדובר בעלייה חדה יותר באופן משמעותי.	Since the beginning of the year, it's a significantly sharper increase.	no
זאת, משום שגם הריביות ביתר המסלולים שמרכיבים משכנתא (ולא רק במסלול פריים) עלו - במסלול צמוד מדד ובמסלול הריבית הקבועה.	This is because interest rates on the other tracks that make up a mortgage (and not just the premium tracks) have also gone up - the index-linked tracks and the fixed-rate tracks.	no
אם הריבית אכן תעלה בחצי אחוז, ההתייקרות תסתכם, לפי הערכתו של צרור, בכ־620 שקלים במשכנתא של כ־1.2 מיליון שקלים.	If the interest rate does rise by half a percent, the increase would amount, according to Schroer's estimate, to about $300 in a mortgage of about $5,000.	no
מסלול הפריים (40% במסלול הזה) ישלים התייקרות של כ־280 שקלים, בהנחה שתהיה עלייה של עוד 0.5% בחודש הבא.	The prime route (40% of this route) will add about $1.50 to the price, assuming a further 0.5% increase next month.	no
מסלול הריבית המשתנה צמודת מדד (26.7% במסלול הזה) ישלים התייקרות של כ־120 שקלים.	A narrowly-controlled variable-interest path (26.7% on this path) will complete an increase of about $1.	no
מסלול הריבית הקבועה - לא צמוד מדד (33.3% במסלול הזה) יתייקר ב־220 שקלים.	The fixed-interest path - not a tight rate (33.3% on this path) will be priced at 220 shekels.	no
אז מה מומלץ לעשות כיום?	So what's the best thing to do today?	no
עבור מי שיש להם משכנתא שרובה צמוד למדד, צרור ממליץ לשקול מיחזור למסלולים שאינם צמודים.	For those with a mortgage that's mostly adjoining, Schroer recommends considering recycling to non-adjoining tracks.	no
לנוטלי משכנתאות שההחזר החודשי עלה מבחינתם בצורה משמעותית וקשה להם לעמוד בהחזרים - הוא ממליץ לבחון לבצע מיחזור משכנתא ולפרוס אותה מחדש לתקופה ארוכה יותר.	For mortgage borrowers whose monthly repayments have increased significantly and who are struggling to meet repayments - he recommends looking into recycling a mortgage and re-scaling it over a longer period.	no
זאת, כדי להפחית את התשלומים למרות העלייה בריבית, שכן עדיף תמיד לעמוד בהחזרים ולא להיות בחדלות פירעון.	This is to reduce the payments despite the increase in interest, since it is always better to meet the returns than to be in a bankruptcy.	no
לגבי נוטלי משכנתאות חדשים - הוא ממליץ מאוד להכיר את המסלולים השונים ולהתאים את המשכנתא ליכולותיהם הכלכליות.	For new mortgage borrowers, he strongly recommends getting to know the different pathways and tailoring the mortgage to their financial capabilities.	no
כך גם בעתיד כשהריביות יירדו הם יוכלו לעשות מיחזור משכנתא עם מינימום עמלות פירעון מוקדם.	So in the future when interest rates go down, they can do mortgage recycling with minimal early-payment fees.	no
לגבי רוכשי דירות מקבלן - צרור ממליץ להקדים תשלומים לקבלן ולקחת משכנתא כעת.	For buyers of receivable-subsidized apartments, Schroer recommends paying the receivable upfront and taking out a mortgage now.	no
יש להביא בחשבון כי "מדד תשומות הבנייה" מעלה את מחיר הנכס באופן משמעותי גם לאחר שנחתם חוזה הרכישה.	It should be noted that the construction contribution index increases the property price significantly even after the purchase contract is signed.	no
מדד מחירי תשומות הבנייה למגורים עלה בשנה האחרונה ב־6.6%.	The housing-building-contribution-price index rose last year by 6.6%.	no
על רקע ההתייקרות במדד זה, שלשום הודיע הפיקוח על הבנקים כי הוא שוקל לחייב יצירת מנגנון שיאפשר לכלול את ההצמדות בתוך המשכנתאות, אולם ההחלטה הסופית בנושא טרם התקבלה.	In light of the increase in this index, the previous day the Banking Supervision Authority announced that it was considering the creation of a mechanism that would allow the inclusion of attachments in mortgages, but the final decision on the issue has not yet been made.	no
מחיר הדלק מתייקר - והישראלים יאלצו לשלם ביולי יותר מ-8 שקלים לליטר	The price of fuel is going up - and the Israelis will have to pay in July more than 8 shekels per liter	yes
משרד האנרגיה הודיע כי המחיר החדש לליטר בנזין 95 אוקטן, יעמוד על 8.08 שקל •	The Ministry of Energy announced that the new price for a liter of 95 octane gasoline will be 8.08 shekels.	yes
במקביל, תוארך עד סוף 2022 ההפחתה של חצי ש"ח לליטר במס על הסולר	At the same time, extended until the end of 2022 the reduction of half a shilling per liter in the tax on solar energy will be reduced by half a shilling per liter.	yes
שיא של עשור: מחיר הבנזין יזנק ב-36 אגורות לליטר - ויעמוד החל מ-1 ביולי על יותר מ-8 שקלים לליטר.	A decade high: Gasoline will jump 36 cents a liter - and stand at more than 8 cents a liter starting July 1.	yes
המחיר החדש לליטר בנזין 95 אוקטן, יעמוד על-8.08 ומי שיבקש להינות משירות מלא, יידרש לשלם עוד 21 אגורות לליטר.	The new price for a liter of 95-octane gasoline will be 8.08 and those who want to enjoy full service will be required to pay an additional 21 cents per liter.	yes
במקביל, תוארך ההפחתה של חצי שקל לליטר במס הסולר עד סוף 2022 - כך נמסר מרשות המסים.	At the same time, the reduction of half a shekel per liter in the solar tax will be extended until the end of 2022 - so the tax authorities reported.	yes
